n,escenario,objetivo,algoritmo,repeticion,posicion,comparaciones,tiempo_ns
100,final,14688.0,Binaria,22,49,1,300
100,final,14688.0,Binaria,23,49,1,200
100,final,14688.0,Binaria,24,49,1,200
100,final,14688.0,Binaria,25,49,1,200
100,final,14688.0,Binaria,26,49,1,300
100,final,14688.0,Binaria,27,49,1,200
100,final,14688.0,Binaria,28,49,1,300
100,final,14688.0,Binaria,29,49,1,200
100,final,14688.0,Binaria,30,49,1,300
100,ausente,18288.0,Lineal,1,-1,100,5500
100,ausente,18288.0,Lineal,2,-1,100,3600
100,ausente,18288.0,Lineal,3,-1,100,3300
100,ausente,18288.0,Lineal,4,-1,100,3200
100,ausente,18288.0,Lineal,5,-1,100,3200
100,ausente,18288.0,Lineal,6,-1,100,3100
100,ausente,18288.0,Lineal,7,-1,100,3200
100,ausente,18288.0,Lineal,8,-1,100,3200
100,ausente,18288.0,Lineal,9,-1,100,3400
100,ausente,18288.0,Lineal,10,-1,100,3200
100,ausente,18288.0,Lineal,11,-1,100,3200
100,ausente,18288.0,Lineal,12,-1,100,3200
100,ausente,18288.0,Lineal,13,-1,100,3100
100,ausente,18288.0,Lineal,14,-1,100,3300
100,ausente,18288.0,Lineal,15,-1,100,3100
100,ausente,18288.0,Lineal,16,-1,100,3200
100,ausente,18288.0,Lineal,17,-1,100,3100
100,ausente,18288.0,Lineal,18,-1,100,3100
100,ausente,18288.0,Lineal,19,-1,100,3200
100,ausente,18288.0,Lineal,20,-1,100,3100
100,ausente,18288.0,Lineal,21,-1,100,3200
100,ausente,18288.0,Lineal,22,-1,100,3400
100,ausente,18288.0,Lineal,23,-1,100,3400
100,ausente,18288.0,Lineal,24,-1,100,5000
100,ausente,18288.0,Lineal,25,-1,100,3200
100,ausente,18288.0,Lineal,26,-1,100,3400
100,ausente,18288.0,Lineal,27,-1,100,3400
100,ausente,18288.0,Lineal,28,-1,100,3300
100,ausente,18288.0,Lineal,29,-1,100,3200
100,ausente,18288.0,Lineal,30,-1,100,3100
100,ausente,18288.0,Binaria,1,-1,7,1900
100,ausente,18288.0,Binaria,2,-1,7,1100
100,ausente,18288.0,Binaria,3,-1,7,900
100,ausente,18288.0,Binaria,4,-1,7,800
100,ausente,18288.0,Binaria,5,-1,7,900
100,ausente,18288.0,Binaria,6,-1,7,900
100,ausente,18288.0,Binaria,7,-1,7,900
100,ausente,18288.0,Binaria,8,-1,7,900
100,ausente,18288.0,Binaria,9,-1,7,900
100,ausente,18288.0,Binaria,10,-1,7,900
100,ausente,18288.0,Binaria,11,-1,7,1000
100,ausente,18288.0,Binaria,12,-1,7,900
100,ausente,18288.0,Binaria,13,-1,7,900
100,ausente,18288.0,Binaria,14,-1,7,1000
100,ausente,18288.0,Binaria,15,-1,7,800
100,ausente,18288.0,Binaria,16,-1,7,800
100,ausente,18288.0,Binaria,17,-1,7,800
100,ausente,18288.0,Binaria,18,-1,7,800
100,ausente,18288.0,Binaria,19,-1,7,900
100,ausente,18288.0,Binaria,20,-1,7,800
100,ausente,18288.0,Binaria,21,-1,7,900
100,ausente,18288.0,Binaria,22,-1,7,800
100,ausente,18288.0,Binaria,23,-1,7,800
100,ausente,18288.0,Binaria,24,-1,7,900
100,ausente,18288.0,Binaria,25,-1,7,800
100,ausente,18288.0,Binaria,26,-1,7,900
100,ausente,18288.0,Binaria,27,-1,7,900
100,ausente,18288.0,Binaria,28,-1,7,1900
100,ausente,18288.0,Binaria,29,-1,7,900
100,ausente,18288.0,Binaria,30,-1,7,800
1000,inicio,17850.0,Lineal,1,0,1,2400
1000,inicio,17850.0,Lineal,2,0,1,500
1000,inicio,17850.0,Lineal,3,0,1,300
1000,inicio,17850.0,Lineal,4,0,1,400
1000,inicio,17850.0,Lineal,5,0,1,300
1000,inicio,17850.0,Lineal,6,0,1,300
1000,inicio,17850.0,Lineal,7,0,1,300
1000,inicio,17850.0,Lineal,8,0,1,200
1000,inicio,17850.0,Lineal,9,0,1,300
1000,inicio,17850.0,Lineal,10,0,1,300
1000,inicio,17850.0,Lineal,11,0,1,300
1000,inicio,17850.0,Lineal,12,0,1,200
1000,inicio,17850.0,Lineal,13,0,1,200
1000,inicio,17850.0,Lineal,14,0,1,300
1000,inicio,17850.0,Lineal,15,0,1,300
1000,inicio,17850.0,Lineal,16,0,1,300
1000,inicio,17850.0,Lineal,17,0,1,200
1000,inicio,17850.0,Lineal,18,0,1,300
1000,inicio,17850.0,Lineal,19,0,1,200
1000,inicio,17850.0,Lineal,20,0,1,400
1000,inicio,17850.0,Lineal,21,0,1,200
